Frame,ttc_lidar,ttc_cam
0001,13.665497,12.179092
0002,10.205176,12.795409
0003,14.474101,24.242148
0004,8.910307,11.279673
0005,10.690274,167.629425
0006,6.540507,17.837580
0007,11.837565,-inf
0008,17.136306,8.956655
0009,10.682904,15.113202
0010,12.806877,-272.521756
0011,9.310127,7.245121
0012,8.778294,32.094168
0013,8.098900,6.079092
0014,9.918052,39.127132
0015,7.505292,8.675022
0016,8.509779,7.385045
0017,8.851274,11.321919
0018,8.761531,8.732350
